,Satiety Index,Insulin Index,Food_x,Group,Closest_Match,Food_y,serving_size,calories,total_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
10,0.50237103,0.594779148,ground beef lean,animal,usda commodity cooked frozen ground bulkcoarse ground beef,usda commodity cooked frozen ground bulkcoarse ground beef,100 g,259.0,16g,89mg,95.00 mg,0,9.00 mcg,0.00 mcg,3.376 mg,0.574 mg,0.120 mg,0.071 mg,41.00 IU,12.00 mcg,0,0.00 mcg,0,0,0.0,3.06 mcg,0.132 mg,0.0 mg,0,0,0,0,9.00 mg,0.140 mg,3.01 mg,24.00 mg,0.016 mg,221.00 mg,333.00 mg,15.9 mcg,6.28 mg,26.06 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,0,0,0,0,0,0,16.34 g,5.744 g,7.504 g,0.620 g,89.00 mg,0.0 g,0.95 g,0.00 mg,0.00 mg,56.49 g
11,0.50237103,0.497261422,porterhouse steak fat trimmed,animal,fat chicken,fat chicken,100 g,900.0,100g,85mg,0.00 mg,122.4 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.000 mg,0.0 mg,191.00 IU,2.70 mg,2.70 mg,0.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.2 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,99.80 g,29.800 g,44.700 g,20.900 g,85.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.20 g
12,0.50237103,0.446481954,rib eye fillet,animal,beef grilled cooked choice trimmed 0 fat separable lean lip boneless rib eye steak,beef grilled cooked choice trimmed 0 fat separable lean lip boneless rib eye steak,100 g,215.0,12g,80mg,60.00 mg,57.7 mg,7.00 mcg,0.00 mcg,5.545 mg,0.590 mg,0.335 mg,0.080 mg,5.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,2.37 mcg,0.514 mg,0.0 mg,4.00 IU,0.12 mg,0.12 mg,1.6 mcg,8.00 mg,0.087 mg,2.65 mg,25.00 mg,0.087 mg,174.00 mg,282.00 mg,33.0 mcg,6.97 mg,27.39 g,1.702 g,1.904 g,2.744 g,0.284 g,4.652 g,1.227 g,1.044 g,0.138 g,1.334 g,2.445 g,2.722 g,0.758 g,1.136 g,1.190 g,1.153 g,1.341 g,0.323 g,1.063 g,1.412 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,11.75 g,4.645 g,5.433 g,0.554 g,80.00 mg,0.0 g,1.06 g,0.00 mg,0.00 mg,60.09 g
13,0.50237103,0.378132965,roast beef,animal,sausage beef pork berliner,sausage beef pork berliner,100 g,230.0,17g,46mg,1297.00 mg,0,5.00 mcg,0.00 mcg,3.110 mg,0.690 mg,0.213 mg,0.380 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,2.67 mcg,0.200 mg,0.0 mg,13.00 IU,0,0,1.6 mcg,12.00 mg,0.080 mg,1.15 mg,15.00 mg,0.041 mg,130.00 mg,283.00 mg,14.1 mcg,2.47 mg,15.27 g,0.774 g,0.765 g,1.136 g,0.105 g,1.994 g,0.857 g,0.395 g,0,0.485 g,0.810 g,0.903 g,0.364 g,0.405 g,0.673 g,0.510 g,0.465 g,0.107 g,0.386 g,0.464 g,2.59 g,0.0 g,2.35 g,0,0,0,0,0,0,17.20 g,6.080 g,8.000 g,1.580 g,46.00 mg,0.0 g,3.97 g,0.00 mg,0.00 mg,60.97 g
14,0.50237103,0.354780621,sirloin steak,animal,cracker barrel grilled sirloin steak,cracker barrel grilled sirloin steak,100 g,203.0,8.5g,87mg,180.00 mg,0,0,0,6.403 mg,0.770 mg,0.350 mg,0.089 mg,23.00 IU,7.00 mcg,0,0,0,0,0.0,3.00 mcg,0.691 mg,0,0,0.46 mg,0.46 mg,1.0 mcg,7.00 mg,0.112 mg,2.75 mg,28.00 mg,0.020 mg,249.00 mg,408.00 mg,31.8 mcg,5.42 mg,31.52 g,1.923 g,2.238 g,3.142 g,0.315 g,5.127 g,1.502 g,1.219 g,0,1.618 g,2.795 g,3.100 g,0.830 g,1.376 g,1.345 g,1.271 g,1.523 g,0.410 g,1.145 g,2.889 g,0.00 g,0,0,0,0,0,0,0,0,8.52 g,3.045 g,3.405 g,0.742 g,87.00 mg,0,1.64 g,0,0,59.40 g
15,0.50237103,0.567589228,sirloin steak lean,animal,pork loin lean cookedroasted bonein backribs fresh,pork loin lean cookedroasted bonein backribs fresh,100 g,255.0,18g,84mg,98.00 mg,83.0 mg,0.00 mcg,0.00 mcg,7.883 mg,1.314 mg,0.348 mg,0.479 mg,15.00 IU,4.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.75 mcg,0.433 mg,0.0 mg,46.00 IU,0.27 mg,0.27 mg,0.0 mcg,44.00 mg,0.107 mg,0.96 mg,17.00 mg,0.011 mg,171.00 mg,249.00 mg,33.7 mcg,3.24 mg,24.15 g,1.383 g,1.556 g,2.259 g,0.272 g,3.689 g,1.091 g,0.982 g,0.084 g,1.143 g,1.987 g,2.147 g,0.662 g,1.003 g,0.976 g,1.008 g,1.062 g,0.287 g,0.957 g,1.221 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,17.65 g,6.221 g,7.646 g,2.788 g,84.00 mg,0.0 g,1.08 g,0.00 mg,0.00 mg,57.58 g
16,0.484268743,0.259199431,tbone steak,animal,cracker barrel grilled sirloin steak,cracker barrel grilled sirloin steak,100 g,203.0,8.5g,87mg,180.00 mg,0,0,0,6.403 mg,0.770 mg,0.350 mg,0.089 mg,23.00 IU,7.00 mcg,0,0,0,0,0.0,3.00 mcg,0.691 mg,0,0,0.46 mg,0.46 mg,1.0 mcg,7.00 mg,0.112 mg,2.75 mg,28.00 mg,0.020 mg,249.00 mg,408.00 mg,31.8 mcg,5.42 mg,31.52 g,1.923 g,2.238 g,3.142 g,0.315 g,5.127 g,1.502 g,1.219 g,0,1.618 g,2.795 g,3.100 g,0.830 g,1.376 g,1.345 g,1.271 g,1.523 g,0.410 g,1.145 g,2.889 g,0.00 g,0,0,0,0,0,0,0,0,8.52 g,3.045 g,3.405 g,0.742 g,87.00 mg,0,1.64 g,0,0,59.40 g
17,0.50237103,0.554937834,top round steak fat trimmed,animal,veal breaded panfried cooked separable lean fat leg top round,veal breaded panfried cooked separable lean fat leg top round,100 g,211.0,8.4g,105mg,76.00 mg,123.2 mg,15.00 mcg,0.00 mcg,12.050 mg,1.170 mg,0.350 mg,0.070 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.45 mcg,0.490 mg,0.0 mg,0.00 IU,0.42 mg,0.42 mg,5.0 mcg,6.00 mg,0.062 mg,0.88 mg,31.00 mg,0.031 mg,279.00 mg,425.00 mg,13.4 mcg,3.23 mg,31.75 g,1.888 g,1.867 g,2.739 g,0.358 g,5.022 g,1.632 g,1.152 g,0,1.564 g,2.527 g,2.616 g,0.741 g,1.281 g,1.326 g,1.190 g,1.387 g,0.321 g,1.012 g,1.755 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,8.35 g,3.160 g,3.230 g,0.580 g,105.00 mg,0.0 g,1.40 g,0.00 mg,0.00 mg,58.34 g
18,0.50237103,0.554937834,top round steak fat trimmed,animal,veal breaded panfried cooked separable lean fat leg top round,veal breaded panfried cooked separable lean fat leg top round,100 g,238.0,9.2g,112mg,454.00 mg,113.2 mg,27.00 mcg,8.00 mcg,10.340 mg,1.070 mg,0.350 mg,0.160 mg,34.00 IU,10.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.24 mcg,0.400 mg,0.0 mg,0.00 IU,0.53 mg,0.53 mg,5.1 mcg,39.00 mg,0.073 mg,1.64 mg,31.00 mg,0.135 mg,250.00 mg,371.00 mg,16.5 mcg,2.75 mg,27.29 g,1.582 g,1.578 g,2.307 g,0.328 g,4.547 g,1.368 g,0.956 g,0,1.339 g,2.161 g,2.144 g,0.631 g,1.129 g,1.247 g,1.075 g,1.172 g,0.284 g,0.864 g,1.512 g,9.91 g,0.3 g,0.57 g,0.23 g,0.00 g,0.17 g,0.00 g,0.18 g,0.00 g,9.18 g,3.060 g,3.390 g,1.490 g,112.00 mg,0.0 g,2.31 g,0.00 mg,0.00 mg,51.31 g
19,0.50237103,0.533843125,bison,animal,deer venison raw alaska native sitka,deer venison raw alaska native sitka,100 g,116.0,2.7g,18mg,0,0,0,0,6.600 mg,0,0.360 mg,0.200 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0,0,0.0 mg,0,0,0,0,7.00 mg,0,2.90 mg,0,0,0,0,0,0,21.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,2.66 g,0.630 g,0.340 g,0.350 g,18.00 mg,0,0.64 g,0,0,75.00 g
20,0.50237103,0.443850329,elk,animal,deer venison raw alaska native sitka,deer venison raw alaska native sitka,100 g,116.0,2.7g,18mg,0,0,0,0,6.600 mg,0,0.360 mg,0.200 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0,0,0.0 mg,0,0,0,0,7.00 mg,0,2.90 mg,0,0,0,0,0,0,21.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,2.66 g,0.630 g,0.340 g,0.350 g,18.00 mg,0,0.64 g,0,0,75.00 g
21,0.50237103,0.31144672,lamb,animal,babyfood junior lamb meat,babyfood junior lamb meat,100 g,112.0,5.2g,38mg,42.00 mg,54.7 mg,2.00 mcg,0.00 mcg,3.193 mg,0.424 mg,0.191 mg,0.019 mg,27.00 IU,8.00 mcg,0,0.00 mcg,0,0,0.0,2.27 mcg,0.183 mg,1.7 mg,4.00 IU,0.40 mg,0.40 mg,0,7.00 mg,0.057 mg,1.66 mg,10.00 mg,0,91.00 mg,211.00 mg,7.0 mcg,2.60 mg,15.20 g,0.953 g,0.996 g,1.429 g,0.209 g,2.328 g,0.885 g,0.384 g,0,0.714 g,1.200 g,1.349 g,0.476 g,0.598 g,0.851 g,0.583 g,0.693 g,0.151 g,0.532 g,0.770 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.20 g,2.560 g,2.060 g,0.220 g,38.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,79.60 g
22,0.50237103,0.429378359,lamb lean,animal,pork loin lean cookedroasted bonein backribs fresh,pork loin lean cookedroasted bonein backribs fresh,100 g,255.0,18g,84mg,98.00 mg,83.0 mg,0.00 mcg,0.00 mcg,7.883 mg,1.314 mg,0.348 mg,0.479 mg,15.00 IU,4.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.75 mcg,0.433 mg,0.0 mg,46.00 IU,0.27 mg,0.27 mg,0.0 mcg,44.00 mg,0.107 mg,0.96 mg,17.00 mg,0.011 mg,171.00 mg,249.00 mg,33.7 mcg,3.24 mg,24.15 g,1.383 g,1.556 g,2.259 g,0.272 g,3.689 g,1.091 g,0.982 g,0.084 g,1.143 g,1.987 g,2.147 g,0.662 g,1.003 g,0.976 g,1.008 g,1.062 g,0.287 g,0.957 g,1.221 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,17.65 g,6.221 g,7.646 g,2.788 g,84.00 mg,0.0 g,1.08 g,0.00 mg,0.00 mg,57.58 g
23,0.50237103,0.423787344,lamb chop,animal,pork broiled cooked separable lean bonein sirloin chop loin fresh,pork broiled cooked separable lean bonein sirloin chop loin fresh,100 g,174.0,5.5g,88mg,89.00 mg,97.8 mg,0.00 mcg,0.00 mcg,9.035 mg,1.342 mg,0.287 mg,0.752 mg,8.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.77 mcg,0.606 mg,0.0 mg,38.00 IU,0.27 mg,0.27 mg,0.0 mcg,65.00 mg,0.123 mg,1.07 mg,25.00 mg,0.013 mg,300.00 mg,391.00 mg,45.3 mcg,3.94 mg,29.29 g,1.678 g,1.887 g,2.740 g,0.330 g,4.475 g,1.324 g,1.191 g,0.102 g,1.387 g,2.411 g,2.605 g,0.803 g,1.217 g,1.184 g,1.223 g,1.288 g,0.349 g,1.161 g,1.482 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.45 g,1.718 g,2.007 g,0.777 g,88.00 mg,0.0 g,1.31 g,0.00 mg,0.00 mg,64.61 g
24,0.21390603,0.045283026,lamb fat,animal,fat turkey,fat turkey,100 g,900.0,100g,102mg,0.00 mg,122.4 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.000 mg,0.0 mg,191.00 IU,2.90 mg,2.90 mg,0.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.2 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,99.80 g,29.400 g,42.900 g,23.100 g,102.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.20 g
25,0.389395742,0.190453255,lamb rib,animal,veal raw separable lean rib roast rib australian,veal raw separable lean rib roast rib australian,100 g,134.0,4.6g,58mg,83.00 mg,0,0,0,0,0,0,0,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0,0,0.0 mg,0,0,0,0,10.00 mg,0,1.58 mg,0,0,0,0,0,0,21.70 g,1.291 g,1.277 g,1.872 g,0.245 g,3.432 g,1.115 g,0.787 g,0.110 g,1.068 g,1.728 g,1.788 g,0.507 g,0.876 g,0.906 g,0.813 g,0.948 g,0.219 g,0.692 g,1.199 g,1.40 g,0.0 g,0.00 g,0,0,0,0,0,0,4.63 g,2.053 g,1.813 g,0.357 g,58.00 mg,0.0 g,1.01 g,0.00 mg,0.00 mg,71.26 g
26,0.50237103,0.483908206,lamb shank,animal,babyfood junior lamb meat,babyfood junior lamb meat,100 g,112.0,5.2g,38mg,42.00 mg,54.7 mg,2.00 mcg,0.00 mcg,3.193 mg,0.424 mg,0.191 mg,0.019 mg,27.00 IU,8.00 mcg,0,0.00 mcg,0,0,0.0,2.27 mcg,0.183 mg,1.7 mg,4.00 IU,0.40 mg,0.40 mg,0,7.00 mg,0.057 mg,1.66 mg,10.00 mg,0,91.00 mg,211.00 mg,7.0 mcg,2.60 mg,15.20 g,0.953 g,0.996 g,1.429 g,0.209 g,2.328 g,0.885 g,0.384 g,0,0.714 g,1.200 g,1.349 g,0.476 g,0.598 g,0.851 g,0.583 g,0.693 g,0.151 g,0.532 g,0.770 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.20 g,2.560 g,2.060 g,0.220 g,38.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,79.60 g
